age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;y
24;blue-collar;unmarried;high.school;no;yes;no;cellular;may;fri;858;yes
71;retired;married;professional.course;no;no;no;cellular;oct;tue;323;yes
30;admin.;married;university.degree;no;no;no;cellular;may;tue;22;no
43;technician;married;university.degree;no;no;no;cellular;aug;thu;160;no
45;technician;married;professional.course;no;yes;no;cellular;jul;wed;160;no
29;blue-collar;married;basic.9y;no;yes;no;cellular;may;fri;14;no
36;admin.;married;high.school;no;yes;no;cellular;nov;tue;136;no
18;student;unmarried;basic.9y;no;yes;no;cellular;dec;mon;269;no
29;management;married;university.degree;no;yes;no;cellular;aug;thu;75;no
29;technician;unmarried;university.degree;no;no;no;telephone;aug;fri;36;no
51;technician;unmarried;university.degree;no;no;no;cellular;jun;fri;657;yes
58;retired;married;professional.course;no;yes;yes;cellular;aug;thu;173;no
30;blue-collar;unmarried;basic.6y;no;yes;no;telephone;may;fri;72;no
59;self-employed;married;professional.course;no;yes;no;cellular;apr;mon;274;no
40;admin.;unmarried;university.degree;no;yes;no;cellular;aug;wed;302;no
30;unemployed;married;high.school;no;no;no;telephone;may;mon;38;no
37;management;married;university.degree;no;yes;yes;cellular;nov;mon;176;no
55;admin.;married;university.degree;no;yes;no;cellular;jul;fri;687;yes
33;unemployed;unmarried;basic.9y;no;yes;no;telephone;aug;tue;5;no
43;technician;unmarried;professional.course;no;yes;no;telephone;jun;wed;184;no
39;management;unmarried;university.degree;no;no;no;telephone;may;mon;207;no
32;technician;unmarried;professional.course;no;yes;no;cellular;apr;mon;54;no
40;housemaid;married;basic.6y;no;yes;no;telephone;jul;tue;225;no
29;admin.;unmarried;university.degree;no;yes;yes;cellular;aug;thu;254;yes
36;blue-collar;unmarried;high.school;no;no;no;telephone;jun;wed;68;no
33;admin.;married;university.degree;no;yes;no;cellular;mar;thu;71;no
22;self-employed;unmarried;professional.course;no;yes;no;cellular;oct;wed;218;yes
53;admin.;married;university.degree;no;no;no;cellular;aug;fri;139;no
34;housemaid;unmarried;high.school;no;no;no;cellular;may;wed;391;yes
34;blue-collar;married;basic.4y;no;yes;no;cellular;jul;wed;431;no
25;admin.;unmarried;professional.course;no;yes;no;cellular;apr;wed;114;yes
30;admin.;married;university.degree;no;yes;no;cellular;apr;thu;316;yes
56;admin.;married;university.degree;no;yes;no;cellular;sep;thu;169;yes
43;admin.;married;university.degree;no;yes;no;cellular;jun;tue;281;no
33;admin.;married;university.degree;no;yes;no;cellular;may;tue;164;no
25;blue-collar;married;basic.4y;no;yes;yes;cellular;jul;thu;309;no
42;blue-collar;married;basic.9y;no;yes;no;cellular;jul;thu;57;no
29;technician;unmarried;high.school;no;yes;no;cellular;nov;tue;127;no
71;retired;married;basic.9y;no;no;no;cellular;oct;fri;131;no
41;technician;married;professional.course;no;no;yes;cellular;aug;thu;898;no
47;admin.;married;basic.9y;no;yes;no;telephone;jun;fri;9;no
30;blue-collar;married;professional.course;no;no;no;cellular;jul;thu;66;no
35;technician;married;professional.course;no;no;no;cellular;nov;thu;366;no
35;services;married;basic.9y;no;yes;yes;telephone;may;thu;442;no
34;admin.;married;university.degree;no;yes;no;telephone;jul;thu;248;no
36;blue-collar;married;basic.6y;no;no;no;cellular;may;mon;193;no
29;services;unmarried;high.school;no;no;no;telephone;apr;tue;370;yes
37;blue-collar;married;basic.6y;no;no;no;cellular;may;tue;1085;yes
35;admin.;married;high.school;no;yes;no;telephone;may;wed;157;no
38;technician;married;university.degree;no;yes;yes;cellular;aug;tue;235;no
29;admin.;unmarried;high.school;no;yes;no;telephone;may;mon;26;no
35;technician;married;professional.course;no;yes;no;cellular;may;mon;90;no
28;unemployed;married;professional.course;no;yes;no;telephone;aug;fri;275;yes
39;admin.;unmarried;university.degree;no;yes;no;cellular;jul;mon;589;no
34;blue-collar;married;basic.6y;no;yes;no;telephone;jul;thu;93;no
34;management;married;university.degree;no;no;no;cellular;nov;thu;244;no
39;admin.;married;high.school;no;yes;no;telephone;jun;wed;1141;yes
52;admin.;unmarried;university.degree;no;yes;no;cellular;jul;mon;867;yes
39;technician;married;professional.course;no;no;no;telephone;nov;wed;70;no
28;admin.;unmarried;university.degree;no;no;no;telephone;jun;mon;362;no
53;admin.;unmarried;university.degree;no;yes;no;cellular;may;mon;367;yes
31;entrepreneur;unmarried;high.school;no;yes;no;telephone;may;tue;168;no
50;management;married;university.degree;no;no;no;cellular;jul;thu;650;no
