age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;y
29;blue-collar;unmarried;basic.9y;no;yes;no;cellular;may;fri;607;no
28;admin.;unmarried;university.degree;no;no;no;cellular;mar;thu;125;no
26;admin.;married;high.school;no;no;no;cellular;jun;wed;428;no
40;housemaid;married;basic.6y;no;yes;no;telephone;jul;tue;225;no
44;management;married;basic.9y;no;yes;no;cellular;aug;wed;244;no
34;management;unmarried;university.degree;no;yes;yes;cellular;nov;tue;79;no
39;self-employed;unmarried;high.school;no;yes;no;cellular;nov;fri;169;no
38;services;married;high.school;no;yes;no;telephone;may;thu;896;no
39;admin.;married;high.school;no;yes;no;telephone;jun;wed;1141;yes
33;admin.;unmarried;university.degree;no;no;no;telephone;may;wed;337;no
45;entrepreneur;married;university.degree;no;yes;no;telephone;may;tue;1721;yes
60;retired;married;university.degree;no;yes;no;cellular;may;tue;133;yes
41;blue-collar;married;basic.9y;no;yes;no;telephone;jun;fri;13;no
85;retired;married;basic.4y;no;no;no;cellular;sep;tue;728;yes
57;technician;married;professional.course;no;yes;no;cellular;aug;fri;160;no
32;management;unmarried;university.degree;no;yes;no;cellular;mar;mon;78;no
39;unemployed;unmarried;high.school;no;yes;no;telephone;apr;mon;22;no
57;management;married;university.degree;no;yes;yes;cellular;nov;fri;536;yes
41;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;247;no
28;admin.;unmarried;high.school;no;no;no;telephone;jul;thu;535;no
26;services;unmarried;high.school;no;yes;no;cellular;jul;mon;509;no
29;admin.;unmarried;high.school;no;yes;no;cellular;sep;thu;216;yes
43;blue-collar;married;basic.9y;no;no;no;telephone;jun;fri;404;no
33;admin.;unmarried;university.degree;no;no;no;cellular;aug;wed;338;yes
46;blue-collar;married;basic.6y;no;no;no;cellular;nov;thu;123;no
47;technician;married;professional.course;no;no;no;telephone;jun;thu;223;no
30;services;unmarried;high.school;no;no;no;cellular;nov;mon;88;no
27;services;unmarried;high.school;no;yes;no;cellular;may;fri;86;no
33;technician;married;basic.9y;no;yes;no;telephone;may;mon;215;no
46;admin.;married;high.school;no;yes;yes;telephone;oct;wed;149;no
25;admin.;unmarried;high.school;no;no;no;telephone;may;fri;113;no
34;blue-collar;married;basic.9y;no;no;no;cellular;may;tue;52;no
45;management;married;professional.course;no;no;no;telephone;may;mon;98;no
48;blue-collar;married;basic.9y;no;no;no;cellular;may;fri;333;no
30;admin.;unmarried;university.degree;no;yes;no;cellular;aug;tue;386;no
30;self-employed;married;university.degree;no;no;no;cellular;jun;mon;212;yes
54;retired;married;basic.4y;no;yes;no;cellular;apr;fri;263;no
23;services;unmarried;high.school;no;yes;yes;cellular;jul;mon;129;no
45;technician;married;professional.course;no;no;no;cellular;oct;thu;504;yes
34;unemployed;unmarried;high.school;no;yes;no;cellular;may;wed;1970;yes
59;blue-collar;married;basic.4y;no;yes;no;cellular;mar;mon;124;yes
21;student;unmarried;high.school;no;no;no;cellular;oct;tue;113;yes
48;blue-collar;unmarried;basic.9y;no;no;no;cellular;nov;wed;141;no
30;blue-collar;unmarried;high.school;no;yes;no;cellular;jul;wed;72;no
31;services;unmarried;high.school;no;no;no;telephone;jul;wed;106;no
46;management;married;university.degree;no;yes;no;cellular;nov;thu;466;no
47;blue-collar;married;high.school;no;yes;no;cellular;may;fri;934;yes
45;blue-collar;unmarried;high.school;no;no;no;cellular;nov;thu;71;no
28;services;unmarried;high.school;no;no;no;cellular;jul;thu;465;no
29;technician;unmarried;high.school;no;yes;no;cellular;aug;fri;164;no
35;admin.;married;university.degree;no;yes;no;telephone;may;thu;162;no
36;admin.;unmarried;university.degree;no;yes;no;cellular;aug;thu;300;no
58;technician;married;professional.course;no;yes;yes;telephone;jun;tue;150;no
32;technician;married;professional.course;no;yes;no;cellular;aug;wed;641;yes
31;technician;unmarried;university.degree;no;yes;no;cellular;aug;wed;411;no
55;admin.;married;high.school;no;no;no;cellular;dec;fri;254;no
41;self-employed;married;university.degree;no;yes;yes;telephone;may;tue;442;no
52;blue-collar;married;basic.9y;no;no;no;cellular;aug;fri;809;yes
44;blue-collar;married;basic.6y;no;yes;no;cellular;apr;thu;304;no
25;student;married;university.degree;no;no;no;cellular;jun;fri;191;yes
33;admin.;married;university.degree;no;yes;no;cellular;oct;tue;148;yes
38;technician;unmarried;professional.course;no;no;yes;cellular;jul;tue;80;no
29;admin.;married;university.degree;no;yes;no;cellular;apr;wed;350;yes
31;admin.;unmarried;university.degree;no;no;no;telephone;may;wed;992;yes
25;services;unmarried;high.school;no;yes;no;telephone;jul;thu;312;no
32;admin.;unmarried;high.school;no;yes;no;cellular;nov;mon;92;no
38;services;unmarried;high.school;no;yes;no;telephone;may;thu;685;no
45;unemployed;married;basic.9y;no;yes;no;cellular;nov;mon;554;no
36;technician;married;basic.4y;no;no;no;cellular;jul;mon;854;yes
68;retired;married;high.school;no;no;no;cellular;nov;mon;1248;yes
39;admin.;married;university.degree;no;no;no;telephone;may;mon;744;yes
31;technician;unmarried;university.degree;no;no;no;telephone;may;tue;47;no
26;admin.;unmarried;basic.9y;no;no;no;telephone;jun;fri;11;no
50;housemaid;married;basic.4y;no;no;yes;cellular;jul;wed;462;yes
29;blue-collar;unmarried;basic.9y;no;no;no;cellular;may;fri;239;no
54;blue-collar;married;high.school;no;no;no;cellular;jul;thu;771;yes
35;management;married;high.school;no;yes;no;cellular;aug;thu;448;no
24;unemployed;married;high.school;no;yes;no;cellular;nov;mon;98;yes
36;admin.;married;university.degree;no;yes;no;cellular;may;wed;7;no
38;technician;unmarried;professional.course;no;yes;no;cellular;may;wed;50;no
41;admin.;married;university.degree;no;yes;no;cellular;aug;mon;145;no
32;technician;unmarried;professional.course;no;yes;no;cellular;jun;fri;329;no
74;retired;married;basic.4y;no;no;no;telephone;apr;mon;1143;yes
